SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO
73.33 5.48 0.0 21.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.8 14.23 0.0 15.97 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.39 22.6 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.49 24.2 0.0 5.31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.25 24.04 0.0 5.71 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.15 24.88 0.0 4.96 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.49 16.63 0.0 13.87 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.5 25.11 0.0 5.39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.92 5.3 0.0 26.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68.58 19.88 0.0 11.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68.17 20.24 0.0 11.59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.55 13.29 0.0 19.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68.23 24.25 0.0 7.52 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.73 21.41 0.0 10.86 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.11 18.97 0.0 13.91 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.59 16.82 0.0 16.59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.62 5.69 0.0 28.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.04 11.93 0.0 22.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.48 22.73 0.0 10.79 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.08 18.03 0.0 15.89 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.77 17.15 0.0 17.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.66 18.28 0.0 16.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.53 18.47 0.0 15.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.66 8.66 0.0 26.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.81 12.36 0.0 13.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.21 17.92 0.0 7.86 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.35 20.15 0.0 5.49 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.78 13.4 0.0 12.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.69 14.53 0.0 11.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.81 7.02 0.0 20.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.2 12.48 0.0 14.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
