SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
71.33 0.0 0.0 15.02 0.0 13.64 0.0 0.0 0.0 0.0 0.0
71.03 0.0 0.0 14.96 0.0 13.58 0.0 0.0 0.0 0.0 0.0
70.78 0.0 0.0 14.9 0.0 13.53 0.0 0.0 0.0 0.0 0.0
70.33 1.75 7.43 12.48 7.38 0.0 0.0 0.0 0.63 0.0 0.0
72.0 0.58 5.28 16.25 5.88 0.0 0.0 0.0 0.0 0.0 0.0
71.77 1.2 4.57 12.04 4.55 2.28 0.0 0.0 3.44 0.0 0.0
72.11 0.87 6.06 13.94 6.05 0.59 0.0 0.0 0.18 0.0 0.0
65.6 10.78 0.0 13.56 6.41 0.0 0.0 0.0 2.06 0.0 0.0
62.2 10.96 7.41 1.6 13.86 3.92 0.0 0.0 0.0 0.0 0.0
68.63 11.09 9.49 1.07 0.0 4.78 0.0 0.0 4.94 0.0 0.0
61.04 10.1 11.47 0.0 11.17 3.69 0.0 0.0 0.0 0.0 2.52
79.58 1.23 0.0 4.06 0.0 13.55 0.0 0.0 1.33 0.0 0.0
70.97 1.87 0.0 4.1 0.0 21.03 0.0 0.0 2.02 0.0 0.0
71.05 1.23 0.0 6.08 0.0 21.64 0.0 0.0 0.0 0.0 0.0
72.33 1.88 0.0 1.03 0.0 16.52 2.13 0.0 6.1 0.0 0.0
62.64 7.53 0.0 0.37 0.0 16.55 0.0 0.0 0.0 0.0 12.52
74.78 0.61 0.0 0.5 0.0 22.4 1.04 0.0 0.66 0.0 0.0
84.18 1.21 0.0 3.98 0.0 10.63 0.0 0.0 0.0 0.0 0.0
81.59 3.28 0.0 5.4 0.0 7.98 0.84 0.0 0.26 0.0 0.0
79.55 0.63 0.0 4.17 0.0 13.91 0.0 0.0 0.0 0.0 0.0
